-103.5436958944,20.5345032516
-99.1047861284,19.5631264718
-94.2337212862,16.9602280175
-93.8783898882,17.0905309559
-100.1596171563,21.8643888274
-105.5708488177,17.8998242712
-94.9101677231,17.5198218864
-111.4141186828,21.8202553462
-97.639548248,18.2622983528
-106.3477873318,17.3452558057
-92.4010402846,18.7394191439
-104.1194981326,21.4202441804
-97.8289331308,20.5055014696
-104.5150248221,14.2684889486
-100.3466963739,15.644725977
-105.8671141249,20.5789616205
-97.0737072128,24.0498634334
-102.3099331795,21.7853842296
-97.1100600185,21.8389244165
-95.7396471856,16.5104061783
